sampleid	Day	PigID	pen	Feed	Coli	Source	batch	key	sow	treat	Score	f_DM	RBC	HGB	HCT	MCV	MCH	MCHC	RET	RET_2	PLT	WBC	NEUT	LYMPH	MONO	EO	BASO	NEUT_2	LYMPH_2	MONO_2	EO_2	BASO_2
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M71	3	6910	5	std	pos	faecal	1	1-6910-3	1229	PC	2	30.54607509	6.32	116	38.1	60.3	18.4	304	183.3	2.9	266	30.45	12.54	14.3	1.49	2.1	0.02	41.1	47	4.9	6.9	0.1
M72	3	6911	6	std	pos	faecal	1	1-6911-3	1117	PC	3	24.6201792	6.12	106	35.3	57.7	17.3	300	112.6	1.84	491	35.85	17.59	13.48	2	2.77	0.01	49.1	37.6	5.6	7.7	0
M73	3	6912	6	std	pos	faecal	1	1-6912-3	1117	PC	4	16.843292	5.85	104	33.7	57.6	17.8	309	111.2	1.9	329	22.06	8.01	11.01	1.33	1.69	0.02	36.3	49.9	6	7.7	0.1
M74	3	6913	7	std	pos	faecal	1	1-6913-3	1309	PC	4	20.52832591	6.39	120	40.9	64	18.8	293	206.4	3.23	489	12.74	4.75	5.57	0.65	1.76	0.01	37.3	43.7	5.1	13.8	0.1
M75	3	6914	7	std	pos	faecal	1	1-6914-3	1309	PC	3	27.37604596	5.86	110	36	61.4	18.8	306	109.6	1.87	220	17.3	4.72	10.77	0.91	0.88	0.02	27.2	62.3	5.3	5.1	0.1
M76	3	6915	8	std	pos	faecal	1	1-6915-3	1322	PC	3	23.90229718	6.45	144	41.5	64.3	22.3	347	143.2	2.22	296	21.11	7.44	10.65	1.22	1.8	0	35.2	50.5	5.8	8.5	0
M77	3	6916	8	std	pos	faecal	1	1-6916-3	1322	PC	3	25.68261692	7.07	124	43.3	61.2	17.5	286	167.6	2.37	222	24.22	8.3	12.85	1.55	1.52	0	34.2	53.1	6.4	6.3	0
M78	3	6917	9	apple	pos	faecal	1	1-6917-3	1229	GA	3	25.09707746	5.37	99	32.2	60	18.4	307	144.5	2.69	223	28.54	9.63	14.54	2.54	1.82	0.01	33.8	50.9	8.9	6.4	0
M79	3	6919	10	apple	pos	faecal	1	1-6919-3	1117	GA	3	24.46244936	6.28	117	40	63.7	18.6	293	77.2	1.23	471	26.89	10.7	11.22	1.7	3.26	0.01	39.9	41.7	6.3	12.1	0
M80	3	6920	10	apple	pos	faecal	1	1-6920-3	1117	GA	2	31.97882875	7.07	132	44.7	63.2	18.7	295	85.5	1.21	544	33.16	13.87	15.52	1.68	2.08	0.01	41.8	46.8	5.1	6.3	0
M81	3	6921	11	apple	pos	faecal	1	1-6921-3	1309	GA	4	16.86972821	5.89	109	37.1	63	18.5	294	70.7	1.2	239	19.93	9.29	7.83	0.95	1.85	0.01	46.5	39.3	4.8	9.3	0.1
M82	3	6922	11	apple	pos	faecal	1	1-6922-3	1309	GA	2	27.79783394	5.75	116	39.1	68	20.2	297	119.6	2.08	158	17.97	4.41	11	1.14	1.42	0	24.6	61.2	6.3	7.9	0
M83	3	6923	12	apple	pos	faecal	1	1-6923-3	1322	GA	3	28.93833265	6	112	36.8	61.3	18.7	304	117.6	1.96	313	15.11	4.75	7.85	0.92	1.59	0	31.4	52	6.1	10.5	0
M84	3	6924	12	apple	pos	faecal	1	1-6924-3	1322	GA	3	24.50620767	5.71	105	34.5	60.4	18.4	304	91.9	1.61	360	20.81	7.92	9.95	1.53	1.4	0.01	38.1	47.8	7.4	6.7	0
M85	3	6925	13	blackb	pos	faecal	1	1-6925-3	1229	GB	3	26.15777319	6.13	112	37.2	60.7	18.3	301	123.8	2.02	257	31.15	9.09	17.39	1.47	3.19	0.01	29.3	55.8	4.7	10.2	0
M86	3	6926	13	blackb	pos	faecal	1	1-6926-3	1229	GB	3	25.55278957	6.94	126	43	62	18.2	293	118.7	1.71	372	37.64	14.04	18.82	1.82	2.94	0.02	37.3	50	4.8	7.8	0.1
M87	3	6927	14	blackb	pos	faecal	1	1-6927-3	1117	GB	3	23.55910812	5.86	106	35.5	60.6	18.1	299	106.7	1.82	498	27.52	14.7	9.99	1.21	1.62	0	53.4	36.3	4.4	5.9	0
M88	3	6928	14	blackb	pos	faecal	1	1-6928-3	1117	GB	2	29.02324213	6.56	119	39.5	60.2	18.1	301	140.4	2.14	435	25.23	10.73	12.28	0.67	1.55	0	42.5	48.7	2.7	6.1	0
M89	3	6929	15	blackb	pos	faecal	1	1-6929-3	1309	GB	3	22.87164612	5.98	111	37	61.9	18.6	300	95.1	1.59	321	23.43	11.08	8.27	1.05	3.01	0.02	47.3	35.3	4.5	12.8	0.1
M90	3	6930	15	blackb	pos	faecal	1	1-6930-3	1309	GB	3	26.23332902	6.23	128	38.3	61.5	20.5	334	147.7	2.37	442	31.38	10	17.96	1.74	1.67	0.01	32	57.2	5.5	5.3	0
M91	3	6931	16	blackb	pos	faecal	1	1-6931-3	1322	GB	3	31.36863137	5.99	103	36.2	60.4	17.2	285	98.2	1.64	221	19.99	6.29	12.09	0.89	0.72	0	31.4	60.5	4.5	3.6	0
M92	3	6932	16	blackb	pos	faecal	1	1-6932-3	1322	GB	2	28.77512069	5.43	91	30.2	55.6	16.8	301	77.6	1.43	9	14.54	7.03	6.2	0.9	0.4	0.01	48.3	42.6	6.2	2.8	0.1
